Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180321,D,3.121027721,1.31282398,1.162046428,5.228329591,0.630552313,0.107505071,14.01273885,沙鹿
20180321,N,2.418190025,1.139697585,0.825095915,2.377918266,0.607690224,0.107424961,13.40909091,沙鹿
20180322,D,3.808998875,1.465466817,1.490888639,6.722872531,1.628195691,0.087514061,15.87807097,沙鹿
20180322,N,4.822907291,3.231773177,2.577407741,11.14852703,1.976689189,0.258775878,29.13636364,沙鹿
20180323,D,5.174531497,0.885752992,1.685707835,9.508868266,1.986532368,0.28313389,27.95992714,沙鹿
20180323,N,4.505959074,2.350123679,1.867551158,9.843539704,2.309950651,0.245109062,34.84986351,沙鹿
20180324,D,6.269773695,2.157965494,2.44857719,9.322733393,2.310987433,0.155500784,27.64116576,沙鹿
20180324,N,7.426251691,5.086152458,2.99639152,13.70079696,2.174313857,0.175011276,39.8089172,沙鹿
20180325,D,8.17416874,3.704139335,3.370504411,8.78045516,1.713902659,0.220085953,36.29326047,沙鹿
20180325,N,11.47541723,11.49661705,6.746729815,8.850031418,1.969591562,1.619756428,54.23497268,沙鹿
20180326,D,10.76838318,4.680458736,4.380256353,11.53087964,2.000791901,0.375534068,34.15300546,沙鹿
20180326,N,7.912522604,7.377034358,4.36415009,13.16507716,2.146195482,0.610985533,37.3066424,沙鹿
20180327,D,11.28225806,2.64516129,3.971774194,7.112877082,1.659671319,0.243503584,30.51001821,沙鹿
20180327,N,10.41300448,4.02735426,4.415695067,12.53692239,1.675079401,0.560313901,35.33697632,沙鹿
20180328,D,8.51460018,1.560197664,3.835804133,7.717051542,1.553945532,0.181716083,24.08925319,沙鹿
20180328,N,9.252870975,9.066651655,5.632965548,11.16842646,2.197067501,1.260076559,43.67606915,沙鹿
20180329,D,12.34480432,2.793747188,4.576248313,7.497249104,1.415564516,0.234367971,30.73770492,沙鹿
20180329,N,10.94838125,17.4091012,8.252433779,15.00121918,2.307879874,1.274620783,54.32604736,沙鹿
20180330,D,7.691702271,2.718012143,2.937036204,8.296683868,1.575319722,0.219698673,25.18214936,沙鹿
20180330,N,4.58097166,3.579622132,2.506297796,9.370022492,2.842591093,0.526540711,26.09289617,沙鹿
20180331,D,7.45631068,1.496726123,2.679160081,9.429025433,1.343241053,0.390833145,27.11941659,沙鹿
20180331,N,9.819488101,5.336551414,4.411540189,14.55129785,2.358953567,1.03143242,37.20400729,沙鹿
20180312,D,,,,,,,,大里
