,二林,南投,埔里,大里,彰化,忠明,沙鹿,竹山,線西,西屯,豐原,三重,中壢,中山,古亭,土城,基隆,士林,大同,大園,平鎮,新店,新莊,松山,板橋,林口,桃園,永和,汐止,淡水,菜寮,萬華,萬里,觀音,陽明,龍潭,冬山,宜蘭,三義,新竹,湖口,竹東,苗栗,頭份,臺東,花蓮,關山,金門,馬公,馬祖,善化,嘉義,安南,崙背,斗六,新港,新營,朴子,臺南,臺西,麥寮,仁武,前金,前鎮,大寮,小港,屏東,左營,復興,恆春,林園,楠梓,橋頭,潮州,美濃,鳳山,富貴角
st_num,59,61,60,24,58,21,23,62,57,20,22,17,50,4,5,8,41,1,3,47,51,14,15,6,18,9,46,16,12,13,17,2,11,48,7,49,44,45,54,42,53,52,55,56,72,74,73,76,75,77,26,43,27,65,66,67,25,68,28,64,63,38,31,32,37,34,70,29,33,69,36,30,39,71,40,35,84
st_x,120.409653,120.685306,120.967903,120.677689,120.541519,120.641092,120.568794,120.677306,120.469061,120.616917,120.741711,121.481028,121.221667,121.526528,121.529556,121.451861,121.760056,121.5145,121.513311,121.201811,121.204981,121.537778,121.4325,121.578611,121.458667,121.365703,121.304417,121.516306,121.6408,121.449239,121.481028,121.507972,121.689881,121.082761,121.529583,121.21635,121.792928,121.746394,120.758833,120.972075,121.038653,121.088903,120.8202,120.898572,121.15045,121.599769,121.161933,118.312256,119.566158,119.9525,120.297142,120.440833,120.218333,120.348742,120.544994,120.345531,120.31725,120.24735,120.202617,120.202842,120.251825,120.332631,120.288086,120.307564,120.425311,120.337736,120.488033,120.292917,120.312017,120.788928,120.41175,120.328289,120.305689,120.561175,120.530542,120.358083,121.537975
st_y,23.925175,23.913,23.968842,24.099611,24.066,24.151958,24.225628,23.756389,24.131672,24.162197,24.256586,25.06895,24.953278,25.062361,25.020608,24.982528,25.129167,25.105917,25.0632,25.060344,24.954208,24.977222,25.037972,25.05,25.012972,25.07857,24.995667,25.017,25.065669,25.1645,25.06895,25.046503,25.179667,25.035503,25.182722,24.863869,24.632203,24.747917,24.382942,24.805619,24.900142,24.740644,24.565269,24.696969,22.755358,23.971306,23.045083,24.432133,23.569031,26.153611,23.115097,23.462778,23.048333,23.757547,23.711853,23.554839,23.305633,23.465308,22.984581,23.717533,23.753506,22.689056,22.632567,22.605386,22.564136,22.565833,22.673081,22.674861,22.608711,21.958069,22.4795,22.733667,22.757506,22.523108,22.883583,22.627392,25.297436
